 ,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ARM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AUT,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182,1675.87362115182
AZE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BEL,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927,3021.71140398927
BGR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BIH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
BLR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CHE,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946,2172.60388343946
CYP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
DEU,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782,3895.26472554782
DNK,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805,3858.59212163805
